period_window,day,co_max8h
pandemic_MarJun2020,2020-05-11,0.8475
pandemic_MarJun2020,2020-05-12,0.9375
pandemic_MarJun2020,2020-05-13,0.940625
pandemic_MarJun2020,2020-05-14,0.9299999999999999
pandemic_MarJun2020,2020-05-15,1.05375
pandemic_MarJun2020,2020-05-16,1.031875
pandemic_MarJun2020,2020-05-17,1.02
pandemic_MarJun2020,2020-05-18,1.3250000000000002
pandemic_MarJun2020,2020-05-19,1.168125
pandemic_MarJun2020,2020-05-20,1.179375
pandemic_MarJun2020,2020-05-21,1.030625
pandemic_MarJun2020,2020-05-22,1.17875
pandemic_MarJun2020,2020-05-23,1.06375
pandemic_MarJun2020,2020-05-24,0.988125
pandemic_MarJun2020,2020-05-25,1.055625
pandemic_MarJun2020,2020-05-26,1.09625
pandemic_MarJun2020,2020-05-27,1.1375
pandemic_MarJun2020,2020-05-28,1.0831250000000001
pandemic_MarJun2020,2020-05-29,1.093125
pandemic_MarJun2020,2020-05-30,1.149375
pandemic_MarJun2020,2020-05-31,1.139375
pandemic_MarJun2020,2020-06-01,1.058125
pandemic_MarJun2020,2020-06-02,1.041875
pandemic_MarJun2020,2020-06-03,1.05375
pandemic_MarJun2020,2020-06-04,1.103125
pandemic_MarJun2020,2020-06-05,1.0640625
pandemic_MarJun2020,2020-06-06,1.0450000000000002
pandemic_MarJun2020,2020-06-07,1.11
pandemic_MarJun2020,2020-06-08,1.2481250000000002
pandemic_MarJun2020,2020-06-09,1.426875
pandemic_MarJun2020,2020-06-10,1.129375
pandemic_MarJun2020,2020-06-11,1.278125
pandemic_MarJun2020,2020-06-12,1.3231249999999999
pandemic_MarJun2020,2020-06-13,1.168125
pandemic_MarJun2020,2020-06-14,1.17375
pandemic_MarJun2020,2020-06-15,1.211875
pandemic_MarJun2020,2020-06-16,1.1175000000000002
pandemic_MarJun2020,2020-06-17,1.175
pandemic_MarJun2020,2020-06-18,1.256875
pandemic_MarJun2020,2020-06-19,1.31875
pandemic_MarJun2020,2020-06-20,1.2175
pandemic_MarJun2020,2020-06-21,1.3493749999999998
pandemic_MarJun2020,2020-06-22,1.33125
pandemic_MarJun2020,2020-06-23,1.3418750000000002
pandemic_MarJun2020,2020-06-24,1.355
pandemic_MarJun2020,2020-06-25,1.4737500000000001
pandemic_MarJun2020,2020-06-26,1.328125
pandemic_MarJun2020,2020-06-27,1.66125
pandemic_MarJun2020,2020-06-28,1.6187500000000001
pandemic_MarJun2020,2020-06-29,1.42875
pandemic_MarJun2020,2020-06-30,1.395
