station,pollutant,month,auc,mean,p50,p90,max_diario,valid_hours
SO,NO,2025-02-01,16876.800000000003,25.114285714285717,11.149999999999999,62.279999999999994,325.4,672.0
SO,NO,2025-03-01,16363.4,21.993817204301074,10.3,56.84000000000001,231.4,744.0
SO,NO,2025-04-01,6990.450000000001,9.708958333333335,4.2,16.71,180.9,720.0
SO,NO,2025-05-01,3351.05,5.440016233766234,3.4,9.55,58.8,616.0
SO,NO,2025-06-01,3199.95,4.444375,3.6,7.310000000000002,42.9,720.0
SO,NOX_final,2020-01-01,623.6,0.8381720430107528,0.8,1.0,1.0,744.0
SO,NOX_final,2020-02-01,616.6,0.8859195402298851,0.9,1.0,8.6,696.0
SO,NOX_final,2020-03-01,694.45,0.9334005376344087,0.9,1.0,1.0,744.0
SO,NOX_final,2020-04-01,563.25,0.7899719495091164,0.5,1.0,8.0,713.0
SO,NOX_final,2020-05-01,803.4000000000001,1.0798387096774196,0.5,0.5,18.1,744.0
SO,NOX_final,2020-06-01,1588.75,2.2065972222222223,0.5,6.6,25.1,720.0
SO,NOX_final,2020-07-01,1406.8,3.5435768261964733,0.9,11.3,56.8,397.0
SO,NOX_final,2024-01-01,29302.649999999998,53.56974405850091,36.900000000000006,121.68000000000002,418.0,547.0
SO,NOX_final,2024-02-01,34668.950000000004,49.81170977011495,35.75,104.19999999999999,295.0,696.0
SO,NOX_final,2024-03-01,24843.399999999998,33.391666666666666,22.299999999999997,69.34,295.8,744.0
SO,NOX_final,2024-04-01,16274.699999999999,22.603749999999998,16.7,43.02,169.1,720.0
SO,NOX_final,2024-05-01,14266.025000000001,19.174764784946237,15.15,30.8,114.0,744.0
SO,NOX_final,2024-06-01,12930.4,17.95888888888889,15.399999999999999,29.020000000000003,109.4,720.0
SO,NOX_final,2024-07-01,13851.525000000001,19.873063127690102,16.599999999999998,33.98,78.8,697.0
SO,NOX_final,2025-01-01,40320.100000000006,54.19368279569893,37.95,111.15000000000002,370.2,744.0
SO,NOX_final,2025-02-01,35411.8,52.696130952380955,37.65,104.07999999999998,392.3,672.0
SO,NOX_final,2025-03-01,31704.85,42.61404569892473,29.45,94.13000000000004,299.3,744.0
SO,NOX_final,2025-04-01,17958.6,24.9425,17.0,44.52,237.3,720.0
SO,NOX_final,2025-05-01,12353.474999999999,20.05434253246753,16.0,32.75,101.25,616.0
SO,NOX_final,2025-06-01,8926.35,12.397708333333334,11.149999999999999,19.4,47.7,720.0
