date,aqi,category,aqi_ma7
2024-03-29,90.0,Moderate,77.28571428571429
2024-03-30,172.0,Unhealthy,93.57142857142857
2024-03-31,115.0,USG,98.0
2024-04-01,103.0,USG,102.57142857142857
2024-04-02,74.0,Moderate,103.57142857142857
2024-04-03,77.0,Moderate,99.71428571428571
2024-04-04,80.0,Moderate,101.57142857142857
2024-04-05,74.0,Moderate,99.28571428571429
2024-04-06,140.0,USG,94.71428571428571
2024-04-07,64.0,Moderate,87.42857142857143
2024-04-08,80.0,Moderate,84.14285714285714
2024-04-09,100.0,Moderate,87.85714285714286
2024-04-10,80.0,Moderate,88.28571428571429
2024-04-11,90.0,Moderate,89.71428571428571
2024-04-12,67.0,Moderate,88.71428571428571
2024-04-13,87.0,Moderate,81.14285714285714
2024-04-14,154.0,Unhealthy,94.0
2024-04-15,112.0,USG,98.57142857142857
2024-04-16,76.0,Moderate,95.14285714285714
2024-04-17,86.0,Moderate,96.0
2024-04-18,91.0,Moderate,96.14285714285714
2024-04-19,86.0,Moderate,98.85714285714286
2024-04-20,69.0,Moderate,96.28571428571429
2024-04-21,37.0,Good,79.57142857142857
2024-04-22,45.0,Good,70.0
2024-04-23,51.0,Moderate,66.42857142857143
2024-04-24,63.0,Moderate,63.142857142857146
2024-04-25,75.0,Moderate,60.857142857142854
2024-04-26,122.0,USG,66.0
2024-04-27,122.0,USG,73.57142857142857
2024-04-28,94.0,Moderate,81.71428571428571
2024-04-29,86.0,Moderate,87.57142857142857
2024-04-30,88.0,Moderate,92.85714285714286
2024-05-01,84.0,Moderate,95.85714285714286
2024-05-02,115.0,USG,101.57142857142857
2024-05-03,92.0,Moderate,97.28571428571429
2024-05-04,80.0,Moderate,91.28571428571429
2024-05-05,104.0,USG,92.71428571428571
2024-05-06,108.0,USG,95.85714285714286
2024-05-07,172.0,Unhealthy,107.85714285714286
2024-05-08,203.0,Very Unhealthy,124.85714285714286
2024-05-09,140.0,USG,128.42857142857142
2024-05-10,128.0,USG,133.57142857142858
