station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
SO,CO,current,21888.0,3.769188596491228,123.0,16.0,2.0,196.0,5.851063829787234,96.23081140350877,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NO2|NO
CE,NO,pandemic,17544.0,17.515959872321023,772.0,108.0,2.0,66.0,3.484126984126984,82.48404012767898,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE
CE,NO,transition,8760.0,5.707762557077626,227.0,5.0,0.0,23.0,2.155172413793104,94.29223744292236,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO
CE,NO,current,21888.0,6.569809941520467,313.0,51.0,0.0,40.0,3.9505494505494503,93.43019005847954,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE
NE,NO,pandemic,17544.0,35.82991336069312,311.0,246.0,10.0,621.0,11.08641975308642,64.17008663930687,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO
NE,NO,transition,8760.0,1.9634703196347032,110.0,2.0,0.0,30.0,1.5357142857142858,98.03652968036528,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SE|SO
NE,NO,current,21888.0,5.217470760233918,146.0,15.0,1.0,720.0,7.049382716049383,94.78252923976608,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SO|NO
NE2,NO,pandemic,17544.0,58.67533059735523,68.0,7.0,4.0,5235.0,130.30379746835442,41.32466940264477,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NE2,NO,transition,8760.0,2.089041095890411,86.0,4.0,0.0,11.0,2.033333333333333,97.9109589041096,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NE2,NO,current,21888.0,12.646198830409356,119.0,16.0,3.0,2184.0,20.057971014492757,87.35380116959064,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
